fichier,ligne,refs,verdict,ratio,citation,source_reelle,texte_trouve_en
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-en.html,590,"Beit_Yosef,_Orach_Chayim.128",INTROUVABLE,0.35,אפילו נכרים שבח״ל שאין עובדין כו״ם אלא מעשה אבותיהם בידיהם מכל מקום כיון שהם מנסכין יין לפני כו״ם אין כח בידינו להתיר לייחד אצלם ואפי׳ בדיעבד אסור,אאתכפיואינומןהדיןאלאמשוםשלאיסיחודעתםכלשנוהגיםלישאאתכפיהםבעניןדליכאלמיחשלהיסחדעתשדומיהוהיכאדאיןשארכהניםמשלשליןוזהשישב,
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-he.html,589,"Beit_Yosef,_Orach_Chayim.128",INTROUVABLE,0.35,אפילו נכרים שבח״ל שאין עובדין כו״ם אלא מעשה אבותיהם בידיהם מכל מקום כיון שהם מנסכין יין לפני כו״ם אין כח בידינו להתיר לייחד אצלם ואפי׳ בדיעבד אסור,אאתכפיואינומןהדיןאלאמשוםשלאיסיחודעתםכלשנוהגיםלישאאתכפיהםבעניןדליכאלמיחשלהיסחדעתשדומיהוהיכאדאיןשארכהניםמשלשליןוזהשישב,
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha.html,584,"Beit_Yosef,_Orach_Chayim.128",INTROUVABLE,0.35,אפילו נכרים שבח״ל שאין עובדין כו״ם אלא מעשה אבותיהם בידיהם מכל מקום כיון שהם מנסכין יין לפני כו״ם אין כח בידינו להתיר לייחד אצלם ואפי׳ בדיעבד אסור,אאתכפיואינומןהדיןאלאמשוםשלאיסיחודעתםכלשנוהגיםלישאאתכפיהםבעניןדליכאלמיחשלהיסחדעתשדומיהוהיכאדאיןשארכהניםמשלשליןוזהשישב,
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-en.html,565,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.1",REF_FAUSSE,0.22,דלענין לכתחלה להפקיד אצלם מחזקינן להו כעובדי עבודת כוכבים,והכהניםמןהמניןלפישהכהניםבכללברכה,"Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:1"
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-en.html,695,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.3",REF_FAUSSE,0.35,משמע כל היין שבחבית ולא מהני כאן היתר דהפסד מרובה דניצוק חיבור,ופיאמורלהםלכלאמהםוכביבשםמהריאתימהדהאגרסיבפאנאמראביי,"Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:3"
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-en.html,728,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.5",REF_FAUSSE,0.27,דוקא שידוע שנעלו בפנים אבל אם אין ידוע אע״פ שיש מנעול בפנים אין אוסרים מספק והיינו ביום אבל בלילה אמרינן מסתמא שנעלו,ולאיאמראלהינוהטעםשהכהניםהםאומריםהברכותולמהיאמרםהשץ,"Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:5"
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-en.html,772,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.6",REF_FAUSSE,0.31,דיכול לישמט ולומר ישן הייתי ולכך לא פתחתי לך,הרןאתידיוידוכתיבוכןויהיידואמונהוכןרא,"Ba'er Hetev on Shulchan Arukh, Yoreh De'ah 128:8 · Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:6"
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-en.html,808,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.8",REF_FAUSSE,0.25,פי׳ שאם ימצאהו ישראל יהיה נתפס כדין גנב ע״פ המושל והוא אינו אלם,מתחיליםהכהניםדבתיבתיברכךליכאלמיחשלטעות,"Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:8"
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-he.html,564,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.1",REF_FAUSSE,0.22,דלענין לכתחלה להפקיד אצלם מחזקינן להו כעובדי עבודת כוכבים,והכהניםמןהמניןלפישהכהניםבכללברכה,"Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:1"
scratchpad/yd-128-niveau4/check/siman-128/niveau-4-halakha-he.html,694,"Turei_Zahav_on_Shulchan_Arukh,_Orach_Chayim.128.3",REF_FAUSSE,0.35,משמע כל היין שבחבית ולא מהני כאן היתר דהפסד מרובה דניצוק חיבור,ופיאמורלהםלכלאמהםוכביבשםמהריאתימהדהאגרסיבפאנאמראביי,"Turei Zahav on Shulchan Arukh, Yoreh De'ah 128:3"
