fichier,ligne,refs,verdict,ratio,citation,source_reelle,texte_trouve_en
sources/orah-haim/siman-208/niveau-2-lamdan-en.html,546,Berakhot.37a,VARIANTE,0.46,אכל דגן שלוק כמו שהוא מברך לפניו בורא פרי האדמה ולאחריו בורא נפשות רבות אכל קמח מברך לפניו שהכל ולאחריו בורא נפשות רבות,ןשלשואילוהכאבתחלהמברךעליושהכלנהיהבדברוולבסוףבוראנפשותרבותוחסרונןעלכלמהשבראתואורזלאומעשהקדרההואוהת,
sources/orah-haim/siman-208/niveau-2-lamdan-en.html,546,Berakhot.38a,VARIANTE,0.46,קמח של אחד מחמשת המינין ששלקוהו וערבו במים או בשאר משקים אם היה עבה כדי שיהיה ראוי לאכילה וללעסו מברך עליו בתחלה בורא מיני מזונות ולבסוף על המחיה ועל הכלכלה,מודיןפטוריםאלאביילרביוסףהאיכובאדארעאמאימברכיןעלויהאלמיסברתנהמאהואגובלאבעלמאהואומברכיןעלויהבוראמינימזונותמרזוטראקבעסעודתיהעלויהו,
sources/orah-haim/siman-208/niveau-2-lamdan-en.html,574,Berakhot.37a,VARIANTE,0.46,ארז שבשלו או שעשה ממנו פת בתחלה מברך עליו בורא מיני מזונות ולבסוף בורא נפשות ובלבד שלא יהא מערב עם דבר אחר אלא ארז לבדו אבל פת דחן או פת של שאר מיני קטנית בתחלה מברך שהכל ולבסוף בורא נפשות רבות,סאתהאורזמברךעליובוראפריהאדמהטחנואפאוובשלואףעלפישהפרוסותקיימותבתחלהמברךעליובוראמינימזונותולבסוףברכהאחתמעיןשלשוהתניאלבסוףולאכלוםאמררבששתלאקשיאהארגוהארבנןדת,
sources/orah-haim/siman-208/niveau-2-lamdan-en.html,587,"Shulchan_Arukh,_Orach_Chayim.208.7",VARIANTE,0.49,וכל שמברכין עליו בתחלה בורא מיני מזונות מברכין בסוף לאחריו ברכה אחת מעין שלש חוץ מן הארז,בשםהראשוהריאושטחנוועשהממנופתמברךעליובוראמינימזונותואחריובוראנפשותוהואמבר,
sources/orah-haim/siman-208/niveau-2-lamdan-en.html,599,Berakhot.44a,VARIANTE,0.58,וחותם בשתיהן על הארץ ועל הפרות ואם היה בארץ ישראל חותם על הארץ ועל פרותיה,פוךרבחסדאאמרעלהארץועלהפירותרבייוחנןאמרעלהארץועלפירותיהמתניה,
sources/orah-haim/siman-208/niveau-2-lamdan-he.html,546,Berakhot.37a,VARIANTE,0.46,אכל דגן שלוק כמו שהוא מברך לפניו בורא פרי האדמה ולאחריו בורא נפשות רבות אכל קמח מברך לפניו שהכל ולאחריו בורא נפשות רבות,ןשלשואילוהכאבתחלהמברךעליושהכלנהיהבדברוולבסוףבוראנפשותרבותוחסרונןעלכלמהשבראתואורזלאומעשהקדרההואוהת,
sources/orah-haim/siman-208/niveau-2-lamdan-he.html,546,Berakhot.38a,VARIANTE,0.46,קמח של אחד מחמשת המינין ששלקוהו וערבו במים או בשאר משקים אם היה עבה כדי שיהיה ראוי לאכילה וללעסו מברך עליו בתחלה בורא מיני מזונות ולבסוף על המחיה ועל הכלכלה,מודיןפטוריםאלאביילרביוסףהאיכובאדארעאמאימברכיןעלויהאלמיסברתנהמאהואגובלאבעלמאהואומברכיןעלויהבוראמינימזונותמרזוטראקבעסעודתיהעלויהו,
sources/orah-haim/siman-208/niveau-2-lamdan-he.html,574,Berakhot.37a,VARIANTE,0.46,ארז שבשלו או שעשה ממנו פת בתחלה מברך עליו בורא מיני מזונות ולבסוף בורא נפשות ובלבד שלא יהא מערב עם דבר אחר אלא ארז לבדו אבל פת דחן או פת של שאר מיני קטנית בתחלה מברך שהכל ולבסוף בורא נפשות רבות,סאתהאורזמברךעליובוראפריהאדמהטחנואפאוובשלואףעלפישהפרוסותקיימותבתחלהמברךעליובוראמינימזונותולבסוףברכהאחתמעיןשלשוהתניאלבסוףולאכלוםאמררבששתלאקשיאהארגוהארבנןדת,
sources/orah-haim/siman-208/niveau-2-lamdan-he.html,587,"Shulchan_Arukh,_Orach_Chayim.208.7",VARIANTE,0.49,וכל שמברכין עליו בתחלה בורא מיני מזונות מברכין בסוף לאחריו ברכה אחת מעין שלש חוץ מן הארז,בשםהראשוהריאושטחנוועשהממנופתמברךעליובוראמינימזונותואחריובוראנפשותוהואמבר,
sources/orah-haim/siman-208/niveau-2-lamdan-he.html,599,Berakhot.44a,VARIANTE,0.58,וחותם בשתיהן על הארץ ועל הפרות ואם היה בארץ ישראל חותם על הארץ ועל פרותיה,פוךרבחסדאאמרעלהארץועלהפירותרבייוחנןאמרעלהארץועלפירותיהמתניה,
