ID,URL,Fichier,Ligne,Langue,Siman,Niveau,Type,Gravite,Texte_actuel,Probleme,Correction_proposee,Certitude,Validation_Rav
T0001,https://daattorah.com/offline.html,offline.html,,fr,,,SEO-canonical-manquant,MOYENNE,,canonical absent,Ajouter canonical,haute,non
T0002,https://daattorah.com/poc-corpus.html,poc-corpus.html,,fr,,,SEO-canonical-manquant,MOYENNE,,canonical absent,Ajouter canonical,haute,non
T0003,https://daattorah.com/oh/243/daat-harav,sources/shabbat/siman-243/niveau-4-daat-harav.html,,fr,243,4-DaatHaRav,numerotation-titre,CRITIQUE,Siman 242 · Niveau 4 — Chitah de l'Admour HaZaken | Hilkhot Shabbat,"Titre ""Siman 242"" mais siman URL = 243",Corriger en Siman 243,haute,oui
T0004,https://daattorah.com/oh/246/daat-harav,sources/shabbat/siman-246/niveau-4-daat-harav.html,,fr,246,4-DaatHaRav,numerotation-titre,CRITIQUE,Siman 242 · Niveau 4 — Chitah de l'Admour HaZaken | Hilkhot Shabbat,"Titre ""Siman 242"" mais siman URL = 246",Corriger en Siman 246,haute,oui
T0005,https://daattorah.com/yd/100/lamdan,sources/yoreh-deah/siman-100/niveau-2-lamdan.html,,fr,100,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0006,https://daattorah.com/yd/100/lamdan,sources/yoreh-deah/siman-100/niveau-2-lamdan.html,,fr,100,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0007,https://daattorah.com/yd/100/lamdan,sources/yoreh-deah/siman-100/niveau-2-lamdan.html,,fr,100,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0008,https://daattorah.com/yd/100/lamdan,sources/yoreh-deah/siman-100/niveau-2-lamdan.html,,fr,100,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0009,https://daattorah.com/yd/101/lamdan,sources/yoreh-deah/siman-101/niveau-2-lamdan.html,,fr,101,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0010,https://daattorah.com/yd/101/lamdan,sources/yoreh-deah/siman-101/niveau-2-lamdan.html,,fr,101,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0011,https://daattorah.com/yd/101/lamdan,sources/yoreh-deah/siman-101/niveau-2-lamdan.html,,fr,101,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0012,https://daattorah.com/yd/101/lamdan,sources/yoreh-deah/siman-101/niveau-2-lamdan.html,,fr,101,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0013,https://daattorah.com/yd/102/lamdan,sources/yoreh-deah/siman-102/niveau-2-lamdan.html,,fr,102,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0014,https://daattorah.com/yd/102/lamdan,sources/yoreh-deah/siman-102/niveau-2-lamdan.html,,fr,102,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0015,https://daattorah.com/yd/102/lamdan,sources/yoreh-deah/siman-102/niveau-2-lamdan.html,,fr,102,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0016,https://daattorah.com/yd/102/lamdan,sources/yoreh-deah/siman-102/niveau-2-lamdan.html,,fr,102,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0017,https://daattorah.com/yd/103/lamdan,sources/yoreh-deah/siman-103/niveau-2-lamdan.html,,fr,103,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0018,https://daattorah.com/yd/103/lamdan,sources/yoreh-deah/siman-103/niveau-2-lamdan.html,,fr,103,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0019,https://daattorah.com/yd/103/lamdan,sources/yoreh-deah/siman-103/niveau-2-lamdan.html,,fr,103,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
T0020,https://daattorah.com/yd/103/lamdan,sources/yoreh-deah/siman-103/niveau-2-lamdan.html,,fr,103,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang he absent,Compléter les 3 hreflang,haute,non
T0021,https://daattorah.com/yd/104/lamdan,sources/yoreh-deah/siman-104/niveau-2-lamdan.html,,fr,104,2-Lamdan,lang-incoherent,IMPORTANTE,he,"html lang=""he"" mais fichier FR","lang=""fr""",haute,non
T0022,https://daattorah.com/yd/104/lamdan,sources/yoreh-deah/siman-104/niveau-2-lamdan.html,,fr,104,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang fr absent,Compléter les 3 hreflang,haute,non
T0023,https://daattorah.com/yd/104/lamdan,sources/yoreh-deah/siman-104/niveau-2-lamdan.html,,fr,104,2-Lamdan,hreflang-manquant,MOYENNE,[],hreflang en absent,Compléter les 3 hreflang,haute,non
