Fichier_FR,Probleme,Fichier_attendu
sources/yoreh-deah/siman-103/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-103/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-103/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-103/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-197/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-197/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-197/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-197/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-100/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-100/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-100/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-100/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-109/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-109/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-109/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-109/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-105/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-105/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-105/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-105/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-196/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-196/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-196/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-196/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-117/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-117/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-117/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-117/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-184/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-184/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-184/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-184/niveau-2-lamdan-en.html
sources/yoreh-deah/siman-94/niveau-2-lamdan.html,HE manquant,sources/yoreh-deah/siman-94/niveau-2-lamdan-he.html
sources/yoreh-deah/siman-94/niveau-2-lamdan.html,EN manquant,sources/yoreh-deah/siman-94/niveau-2-lamdan-en.html
